"STATION","NAME","DATE","TMAX","TMIN"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-02","89","65"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-03","92","66"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-04","90","70"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-05","89","64"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-06","86","63"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-07","84","65"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-08","84","66"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-09","89","67"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-10","85","61"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-11","79","58"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-12","75","58"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-13","79","59"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-14","68","51"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-15","79","54"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-16","86","63"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-17","87","66"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-18","87","66"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-19","82","66"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-20","81","68"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-21","82","66"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-22","88","68"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-23","88","67"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-24","88","70"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-25","88","65"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-26","83","62"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-27","85","61"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-28","89","62"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-29","89","66"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-30","89","69"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-31","91","70"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-08-01","89","71"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-08-02","88","73"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-08-03","86","72"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-08-04","81","69"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-08-05","86","70"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-08-06","86","63"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-08-07","78","57"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-08-08","77","56"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-08-09","84","59"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-08-10","87","65"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-08-11","87","62"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-08-12","88","66"
