"STATION","NAME","DATE","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-04","71","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-05","78","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-06","82","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-07","82","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-08","83","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-09","70","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-10","64","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-11","67","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-12","72","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-13","65","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-14","73","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-15","78","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-16","79","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-17","82","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-18","71","51"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-19","55","47"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-20","62","42"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-21","68","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-22","71","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-23","69","56"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-24","66","49"
